name,type,address,description,stages,child_friendly_features,tags,lat,lng,submittedby,rating,isseed
Alki Playground,Playground,"5817 SW Lander St, Seattle, WA",Alki Playground. Equipment includes climbing-structure. Suitable for ages 2-12.,,climbing,"ada-compliant,outdoor,source-age:2-12",47.57789918,-122.4077309,admin,0,false
B.F. Day Playground,Playground,"4020 Fremont Ave N, Seattle, WA",B.F. Day Playground.,,,"ada-compliant,outdoor",47.65566774,-122.34890554,admin,0,false
Ballard Playground,Playground,"2644 NW 60th St, Seattle, WA",Ballard Playground.,,,"ada-compliant,outdoor",47.6726483,-122.39254848,admin,0,false
Bayview Playground,Playground,"2614 24th Ave W, Seattle, WA","Bayview Playground. Equipment includes climbing, climbing-structure, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.64430136,-122.38690553,admin,0,false
Bayview-Kinnear Park,Playground,"3rd Ave W / W Prospect St, Seattle, WA",Bayview-Kinnear Park.,,,"ada-compliant,outdoor",47.62889952,-122.36023718,admin,0,false
Beacon Hill Playground,Playground,"1902 13th Ave S, Seattle, WA","Beacon Hill Playground. Equipment includes climbing-structure, roundabout, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.5865218,-122.31515116,admin,0,false
Benefit Playground,Playground,"9320 38th Ave S, Seattle, WA","Benefit Playground. Equipment includes climbing, climbing-structure, roundabout, seesaw, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,seesaw,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.51852715,-122.28417232,admin,0,false
Bitterlake Playfield,Playground,"13030 North Park Ave N, Seattle, WA",Bitterlake Playfield.,,,"ada-compliant,outdoor",47.72341905,-122.34873454,admin,0,false
Bryant Playground,Playground,"4103 NE 65th St, Seattle, WA","Bryant Playground. Equipment includes climbing-structure, roundabout, spring-rocker, swings, track-ride. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.67521302,-122.28336719,admin,0,false
Colman Playground,Playground,"1740 23rd Ave S, Seattle, WA","Colman Playground. Equipment includes roundabout, slides, spring-rocker, swings. Suitable for ages 2-12 and 2-5.",,"roundabout,slides,swings","ada-compliant,outdoor,source-age:2-5,source-age:2-12",47.58718821,-122.30158854,admin,0,false
Cowen Park,Playground,"5849 15th Ave NE, Seattle, WA","Cowen Park. Equipment includes roundabout, sand-diggers, swings, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"roundabout,sand-diggers,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.6723972,-122.3123571,admin,0,false
Dahl Playfield,Playground,"7700 25th Ave NE, Seattle, WA",Dahl Playfield.,,,"ada-compliant,outdoor",47.68419286,-122.30003355,admin,0,false
David Rodgers Park,Playground,"2800 3rd Ave W, Seattle, WA","David Rodgers Park. Equipment includes activity-panel, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.64378205,-122.35876007,admin,0,false
Dearborn Park,Playground,"2919 S Brandon St, Seattle, WA","Dearborn Park. Equipment includes climbing-structure, swings. Suitable for ages 2-12.",,"climbing,swings","ada-compliant,outdoor,source-age:2-12",47.5531207,-122.29467281,admin,0,false
Froula Playground,Playground,"7112 12th Ave NE, Seattle, WA","Froula Playground. Equipment includes climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:2-12",47.68058094,-122.31468158,admin,0,false
Green Lake Park,Playground,"7201 East Green Lake Dr N, Seattle, WA","Green Lake Park. Equipment includes activity-panel, baby-swings, climbing-structure, roundabout, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"baby-swings,climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.68064949,-122.32764197,admin,0,false
Hutchinson Playground,Playground,"5732 S Norfolk St, Seattle, WA",Hutchinson Playground. Equipment includes climbing-structure. Suitable for ages 5-12.,,climbing,"ada-compliant,outdoor,source-age:5-12",47.51484395,-122.25953538,admin,0,false
International Childrens Park,Playground,"700 S Lane St, Seattle, WA",International Childrens Park.,,,"ada-compliant,outdoor",47.59695131,-122.32333318,admin,0,false
Laurelhurst Playfield,Playground,"4544 NE 41st St, Seattle, WA",Laurelhurst Playfield.,,,"ada-compliant,outdoor",47.65962922,-122.27783844,admin,0,false
Licton Springs Park,Playground,"9536 Ashworth Ave N, Seattle, WA","Licton Springs Park. Equipment includes climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.69859366,-122.33934006,admin,0,false
Loyal Heights Playfield,Playground,"2101 NW 77th St, Seattle, WA",Loyal Heights Playfield.,,,"ada-compliant,outdoor",47.6846736,-122.38400376,admin,0,false
Madison Park,Playground,"1898 43rd Ave E, Seattle, WA","Madison Park. Equipment includes baby-swings, climbing-structure, roundabout, swings, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"baby-swings,climbing,roundabout,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.63530488,-122.2775807,admin,0,false
Magnolia Park,Playground,"1461 Magnolia Blvd W, Seattle, WA","Magnolia Park. Equipment includes baby-swings, balance-beam, climbing-structure, roundabout, spring-rocker, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"baby-swings,climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.63322545,-122.39809868,admin,0,false
Mayfair Park,Playground,"2600 2nd Ave N, Seattle, WA",Mayfair Park.,,,"ada-compliant,outdoor",47.64321844,-122.35339993,admin,0,false
Meadowbrook Playfield,Playground,"10533 35th Ave NE, Seattle, WA",Meadowbrook Playfield.,,,"ada-compliant,outdoor",47.70517102,-122.29113211,admin,0,false
Othello Playground,Playground,"4351 S Othello St, Seattle, WA","Othello Playground. Equipment includes climbing-structure, roundabout, slides, swings, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,slides,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.53635667,-122.27700345,admin,0,false
Peppi Playground,Playground,"3233 E Spruce St, Seattle, WA",Peppi Playground.,,,"ada-compliant,outdoor",47.60253568,-122.29053808,admin,0,false
Plum Tree Park,Playground,"1717 26th Ave, Seattle, WA",Plum Tree Park. Equipment includes climbing-structure. Suitable for ages 5-12.,,climbing,"ada-compliant,outdoor,source-age:5-12",47.61699691,-122.29919413,admin,0,false
Rainier Beach Playfield,Playground,"8802 Rainier Ave S, Seattle, WA","Rainier Beach Playfield. Equipment includes climbing-structure, roundabout, swings, track-ride, zip-line. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings,zip-line","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.52479405,-122.27269276,admin,0,false
Rainier Playfield,Playground,"3700 S Alaska St, Seattle, WA",Rainier Playfield.,,,"ada-compliant,outdoor",47.56262801,-122.28552286,admin,0,false
Rogers Playground,Playground,"2516 Eastlake Ave E, Seattle, WA","Rogers Playground. Equipment includes climbing-structure, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.64286402,-122.32506662,admin,0,false
Ross Playground,Playground,"4320 4th Ave NW, Seattle, WA","Ross Playground. Equipment includes climbing-structure, roundabout, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,roundabout,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.66019865,-122.36121739,admin,0,false
Salmon Bay Park,Playground,"2001 NW Canoe Pl, Seattle, WA","Salmon Bay Park. Equipment includes climbing-structure, roundabout, spring-rocker, swings, zip-line. Suitable for ages 2-12 and 5-12.",,"climbing,roundabout,swings,zip-line","ada-compliant,outdoor,source-age:5-12,source-age:2-12",47.6792973,-122.38134272,admin,0,false
Soundview Playfield,Playground,"1590 NW 90th St, Seattle, WA",Soundview Playfield.,,,"ada-compliant,outdoor",47.69527728,-122.38016688,admin,0,false
Soundview Terrace Play Area,Playground,"2500 11th Ave W, Seattle, WA","Soundview Terrace Play Area. Equipment includes climbing-structure, slides. Suitable for ages 5-12.",,"climbing,slides","ada-compliant,outdoor,source-age:5-12",47.6405541,-122.37139235,admin,0,false
Spruce Street Mini Park,Playground,"160 21st Ave, Seattle, WA",Spruce Street Mini Park.,,,"ada-compliant,outdoor",47.60285061,-122.30464691,admin,0,false
University Playground,Playground,"4745 9th Ave NE, Seattle, WA","University Playground. Equipment includes climbing-structure, swings. Suitable for ages 2-12 and 5-12.",,"climbing,swings","ada-compliant,outdoor,source-age:5-12,source-age:2-12",47.66423971,-122.31974831,admin,0,false
W. Magnolia Playfield,Playground,"2518 34th Ave W, Seattle, WA",W. Magnolia Playfield.,,,"ada-compliant,outdoor",47.64146676,-122.40037431,admin,0,false
Sam Smith Park,Playground,"I-90 West Portal, Seattle, WA","Sam Smith Park. Equipment includes activity-panel, climbing, climbing-structure, swings. Suitable for ages 2-12 and 2-5 and 5-12.",,"climbing,swings","ada-compliant,outdoor,source-age:2-5,source-age:5-12,source-age:2-12",47.59007807,-122.29525737,admin,0,false
