place_id,name,type,additional_features,additional_tags
ChIJIweuNC1DkFQR32HzHy6hYGE,Good Voyage,Café,[],[]
ChIJLWGLg90VkFQREfImduJ7gjA,Volunteer Park Cafe & Pantry,Café,"[""outdoor-seating""]","[""kid-friendly""]"
ChIJU6O0Y_1rkFQRw0BduR7xyBU,Lune Cafe,Café,"[""crayons-activities""]",[]
ChIJBw069C5rkFQRO185EgzEDZ8,Rita’s Cafe,Café,[],[]
ChIJFT0nhQEVkFQRrRIi9IzF8m0,Stone Way Cafe,Café,"[""outdoor-seating""]",[]
ChIJ-TzzQ8xqkFQRH5sj_1Pd6bE,Lost Lake Cafe & Lounge,Café,"[""outdoor-seating""]","[""busy"",""lively""]"
ChIJ5Y74B04VkFQRvoWKWLoETmA,Bang Bang Cafe,Café,[],[]
ChIJ7ZC5oTcVkFQR4tJqYR-hWbU,Portage Bay Cafe - South Lake Union,Café,"[""outdoor-seating""]","[""busy""]"
ChIJWRgaZOxBkFQRArhWsxJvll0,Hangar Cafe,Café,"[""outdoor-seating""]","[""cozy""]"
ChIJfXq9EVxrkFQR4o4w3a_0H10,Piedmont Café,Café,[],"[""quiet""]"
ChIJibX4ME8VkFQRypD16V31l-Q,The 5 Point Cafe,Café,[],"[""noise-tolerant"",""busy""]"
ChIJzzHlqLRrkFQRcwN4t8PTzIk,Tailwind Café at Good Weather,Café,"[""outdoor-seating"",""stroller-accessible""]","[""cozy"",""rainy-day""]"
ChIJ9Z7V1rJqkFQR4PQw1WfZh3M,Biscuit Bitch Pike Place,Café,"[""outdoor-seating""]","[""busy""]"
ChIJ-6-74YdrkFQRUldIRIh6Z7s,Jollidaze Cafe,Café,"[""outdoor-seating""]",[]
ChIJsShv3bJqkFQRNhAXcjjvtSU,Bacco Cafe,Café,[],[]
ChIJBR3G8LJqkFQRWD2Wzn0qG3c,Storyville Coffee Pike Place,Café,[],[]
ChIJZ7BwWsxqkFQRW7n0QdDE1eg,Oddfellows Café + Bar,Café,"[""kids-menu""]","[""busy""]"
ChIJwR7VH2cVkFQRaLCer42Ou_Y,The Outer Rim,Café,[],"[""quiet""]"
ChIJoVOXybFqkFQRA-8a2OmkD3I,Storyville Coffee,Café,[],[]
ChIJEWssZr5rkFQRel6OnOIsQog,Hood Famous Bakeshop (Chinatown-ID),Café,"[""outdoor-seating""]","[""cozy""]"
